CustomerID,Usia,Jenis Kelamin,Masa Tenure,Frekuensi Penggunaan,Panggilan Dukungan,Keterlambatan Pembayaran,Tipe Langganan,Lama Kontrak,Total Pengeluaran,Interaksi Terakhir
1,45,Male,19.0,18.0,6.0,30.0,Standard,Quarterly,389.0,19.0
2,51,Female,8.0,9.0,6.0,4.0,Premium,Quarterly,916.0,23.0
3,61,Male,60.0,30.0,1.0,28.0,Standard,Monthly,758.0,10.0
4,19,Female,35.0,5.0,1.0,30.0,Basic,Monthly,696.0,28.0
5,59,Male,7.0,18.0,5.0,21.0,Premium,Annual,964.0,23.0
6,58,Male,32.0,22.0,9.0,0.0,Premium,Annual,985.0,2.0
7,33,Male,23.0,27.0,10.0,26.0,Standard,Monthly,324.0,9.0
8,60,Male,5.0,1.0,4.0,15.0,Standard,Quarterly,302.0,20.0
9,34,Female,57.0,18.0,1.0,6.0,Premium,Annual,543.0,18.0
10,23,Female,51.0,10.0,6.0,14.0,Basic,Annual,369.0,23.0
11,28,Female,52.0,12.0,5.0,0.0,Basic,Monthly,585.0,1.0
12,25,Male,8.0,7.0,0.0,28.0,Basic,Annual,629.0,7.0
13,41,Female,10.0,3.0,0.0,5.0,Standard,Monthly,599.0,21.0
14,55,Female,32.0,17.0,0.0,24.0,Standard,Annual,895.0,6.0
15,49,Female,28.0,4.0,3.0,1.0,Standard,Annual,947.0,21.0
16,20,Male,53.0,6.0,10.0,8.0,Premium,Monthly,613.0,3.0
17,18,Female,59.0,15.0,8.0,8.0,Standard,Annual,128.0,3.0
18,62,Female,50.0,27.0,10.0,0.0,Premium,Quarterly,886.0,14.0
19,47,Male,14.0,20.0,7.0,25.0,Standard,Monthly,947.0,8.0
20,48,Female,21.0,7.0,4.0,25.0,Premium,Annual,110.0,22.0
21,63,Male,45.0,9.0,3.0,3.0,Premium,Quarterly,673.0,5.0
22,26,Female,55.0,20.0,7.0,3.0,Premium,Monthly,765.0,15.0
23,54,Female,1.0,12.0,8.0,9.0,Premium,Annual,160.0,7.0
24,46,Female,59.0,4.0,2.0,29.0,Basic,Quarterly,930.0,5.0
25,52,Female,43.0,12.0,9.0,15.0,Standard,Quarterly,964.0,21.0
26,45,Female,44.0,22.0,10.0,3.0,Premium,Annual,720.0,23.0
27,39,Female,25.0,14.0,9.0,10.0,Basic,Annual,353.0,2.0
28,53,Female,6.0,30.0,4.0,21.0,Basic,Monthly,629.0,10.0
