CustomerID,Usia,Jenis Kelamin,Masa Tenure,Frekuensi Penggunaan,Panggilan Dukungan,Keterlambatan Pembayaran,Tipe Langganan,Lama Kontrak,Total Pengeluaran,Interaksi Terakhir,Churn
1,40,Female,3.0,26.0,9.0,6.0,Basic,Annual,301.0,2.0,1.0
2,50,Male,26.0,21.0,4.0,7.0,Standard,Monthly,789.0,23.0,1.0
3,59,Female,1.0,23.0,4.0,5.0,Standard,Annual,783.0,9.0,1.0
4,53,Female,11.0,20.0,1.0,22.0,Premium,Quarterly,154.0,28.0,1.0
5,41,Female,41.0,21.0,9.0,14.0,Premium,Monthly,338.0,2.0,1.0
6,38,Female,12.0,27.0,10.0,17.0,Basic,Monthly,437.0,25.0,1.0
7,41,Female,1.0,19.0,9.0,8.0,Premium,Annual,909.0,1.0,1.0
8,26,Female,43.0,10.0,4.0,22.0,Premium,Monthly,506.0,27.0,1.0
9,48,Female,11.0,6.0,5.0,9.0,Premium,Quarterly,314.0,26.0,1.0
10,29,Female,2.0,7.0,2.0,17.0,Standard,Monthly,442.0,4.0,1.0
11,46,Male,44.0,23.0,0.0,28.0,Basic,Monthly,773.0,13.0,1.0
12,58,Female,22.0,7.0,3.0,3.0,Premium,Annual,415.0,25.0,1.0
13,34,Male,48.0,5.0,2.0,2.0,Basic,Quarterly,577.0,21.0,0.0
14,35,Female,36.0,8.0,8.0,1.0,Standard,Annual,639.0,20.0,1.0
15,20,Female,55.0,9.0,0.0,23.0,Standard,Quarterly,161.0,5.0,1.0
16,36,Female,32.0,26.0,7.0,8.0,Basic,Monthly,252.0,13.0,1.0
17,54,Female,48.0,20.0,10.0,1.0,Premium,Annual,403.0,29.0,1.0
18,33,Female,48.0,26.0,10.0,29.0,Basic,Monthly,746.0,20.0,1.0
19,59,Male,43.0,10.0,6.0,25.0,Basic,Quarterly,650.0,25.0,1.0
20,33,Male,12.0,2.0,8.0,5.0,Basic,Quarterly,469.0,1.0,1.0
21,19,Female,4.0,17.0,0.0,30.0,Premium,Annual,795.0,12.0,1.0
22,60,Female,30.0,21.0,6.0,15.0,Premium,Annual,113.0,13.0,1.0
23,35,Female,38.0,21.0,2.0,27.0,Premium,Annual,477.0,14.0,1.0
24,43,Female,6.0,17.0,7.0,5.0,Basic,Quarterly,897.0,27.0,1.0
25,38,Female,8.0,25.0,3.0,0.0,Standard,Monthly,448.0,26.0,1.0
26,27,Male,36.0,26.0,5.0,8.0,Basic,Monthly,383.0,8.0,1.0
27,26,Male,35.0,22.0,0.0,7.0,Premium,Quarterly,308.0,30.0,1.0
28,40,Male,20.0,2.0,6.0,22.0,Premium,Quarterly,805.0,28.0,1.0
29,32,Female,37.0,29.0,0.0,10.0,Basic,Annual,335.0,7.0,1.0
30,22,Male,59.0,22.0,8.0,28.0,Standard,Annual,897.0,24.0,1.0
31,28,Male,32.0,3.0,1.0,29.0,Premium,Annual,359.0,11.0,1.0
32,52,Female,53.0,8.0,1.0,4.0,Premium,Annual,748.0,28.0,1.0
33,18,Male,32.0,19.0,9.0,21.0,Standard,Monthly,286.0,11.0,1.0
34,48,Female,36.0,7.0,7.0,12.0,Basic,Monthly,717.0,14.0,1.0
35,59,Female,12.0,5.0,6.0,15.0,Premium,Quarterly,493.0,28.0,1.0
36,65,Male,28.0,13.0,0.0,11.0,Premium,Annual,645.0,22.0,1.0
37,44,Female,13.0,18.0,3.0,28.0,Basic,Quarterly,593.0,21.0,1.0
38,26,Female,25.0,29.0,2.0,24.0,Basic,Annual,645.0,3.0,1.0
39,54,Male,55.0,29.0,0.0,7.0,Premium,Quarterly,807.0,14.0,1.0
40,54,Female,60.0,29.0,10.0,6.0,Premium,Annual,601.0,2.0,1.0
41,53,Male,44.0,1.0,10.0,6.0,Premium,Quarterly,198.0,19.0,1.0
42,23,Male,8.0,30.0,7.0,5.0,Basic,Quarterly,743.0,22.0,1.0
43,46,Male,60.0,11.0,7.0,28.0,Premium,Monthly,731.0,20.0,1.0
44,45,Female,4.0,19.0,3.0,12.0,Premium,Quarterly,634.0,3.0,0.0
45,28,Male,29.0,10.0,0.0,29.0,Basic,Monthly,628.0,7.0,1.0
46,59,Male,26.0,21.0,6.0,23.0,Standard,Annual,730.0,7.0,1.0
47,60,Female,22.0,22.0,5.0,16.0,Standard,Annual,761.0,30.0,1.0
48,52,Female,23.0,12.0,0.0,0.0,Basic,Annual,839.0,29.0,1.0
49,58,Female,45.0,3.0,7.0,7.0,Premium,Annual,740.0,8.0,1.0
50,47,Male,59.0,18.0,9.0,11.0,Basic,Quarterly,210.0,11.0,1.0
51,48,Male,37.0,7.0,8.0,5.0,Basic,Quarterly,606.0,10.0,1.0
52,29,Female,3.0,18.0,10.0,3.0,Basic,Quarterly,917.0,11.0,1.0
53,62,Male,28.0,29.0,3.0,19.0,Standard,Quarterly,171.0,24.0,1.0
54,20,Female,34.0,15.0,9.0,8.0,Basic,Annual,124.0,26.0,1.0
55,59,Male,11.0,9.0,5.0,22.0,Basic,Annual,660.0,3.0,1.0
56,43,Female,55.0,1.0,8.0,22.0,Basic,Annual,470.0,1.0,1.0
57,64,Male,35.0,22.0,2.0,25.0,Standard,Annual,214.0,29.0,1.0
58,65,Female,38.0,27.0,3.0,26.0,Standard,Monthly,850.0,17.0,1.0
59,34,Male,43.0,15.0,5.0,18.0,Basic,Quarterly,596.0,23.0,1.0
60,51,Female,26.0,26.0,9.0,30.0,Basic,Monthly,393.0,19.0,1.0
61,41,Male,26.0,2.0,4.0,12.0,Standard,Monthly,300.0,25.0,1.0
62,24,Male,33.0,28.0,10.0,7.0,Standard,Annual,470.0,9.0,1.0
63,43,Female,60.0,5.0,2.0,20.0,Premium,Annual,966.0,30.0,1.0
64,58,Male,43.0,4.0,6.0,7.0,Standard,Monthly,287.0,26.0,1.0
65,38,Male,26.0,8.0,2.0,28.0,Basic,Annual,536.0,19.0,1.0
66,64,Female,18.0,28.0,5.0,30.0,Standard,Annual,209.0,2.0,1.0
67,31,Male,42.0,22.0,8.0,19.0,Premium,Monthly,450.0,9.0,1.0
68,54,Male,31.0,15.0,2.0,21.0,Standard,Quarterly,560.0,3.0,1.0
69,55,Female,3.0,17.0,2.0,4.0,Basic,Annual,897.0,28.0,1.0
70,39,Male,46.0,8.0,1.0,12.0,Standard,Annual,446.0,22.0,1.0
71,38,Male,29.0,18.0,0.0,27.0,Premium,Monthly,606.0,8.0,1.0
72,52,Female,3.0,11.0,3.0,25.0,Premium,Quarterly,741.0,17.0,1.0
73,65,Male,37.0,19.0,6.0,7.0,Basic,Quarterly,515.0,11.0,1.0
74,20,Male,31.0,11.0,5.0,0.0,Premium,Annual,295.0,14.0,1.0
75,32,Male,48.0,19.0,7.0,6.0,Premium,Annual,985.0,11.0,1.0
76,32,Female,60.0,30.0,4.0,4.0,Basic,Annual,720.0,4.0,1.0
77,36,Male,58.0,17.0,10.0,29.0,Premium,Quarterly,777.0,13.0,1.0
78,51,Male,48.0,24.0,4.0,4.0,Basic,Quarterly,953.0,12.0,1.0
79,45,Male,40.0,28.0,2.0,27.0,Standard,Annual,892.0,11.0,1.0
80,37,Male,47.0,16.0,9.0,18.0,Premium,Quarterly,587.0,6.0,1.0
81,45,Female,3.0,3.0,5.0,8.0,Premium,Quarterly,765.0,15.0,1.0
82,19,Female,15.0,27.0,4.0,15.0,Standard,Annual,586.0,28.0,1.0
83,43,Female,44.0,21.0,8.0,21.0,Standard,Monthly,664.0,4.0,1.0
84,19,Female,1.0,12.0,3.0,22.0,Basic,Monthly,985.0,3.0,1.0
85,35,Female,12.0,14.0,8.0,27.0,Standard,Monthly,213.0,21.0,1.0
86,52,Female,32.0,18.0,6.0,25.0,Premium,Annual,775.0,21.0,1.0
87,61,Male,23.0,28.0,6.0,18.0,Standard,Quarterly,447.0,21.0,1.0
88,36,Male,23.0,2.0,10.0,17.0,Premium,Quarterly,286.0,10.0,1.0
89,48,Female,39.0,18.0,4.0,25.0,Standard,Quarterly,992.0,1.0,1.0
90,50,Male,56.0,11.0,2.0,28.0,Premium,Monthly,612.0,10.0,1.0
91,65,Female,14.0,1.0,5.0,24.0,Standard,Annual,236.0,30.0,1.0
92,23,Female,53.0,9.0,9.0,14.0,Standard,Quarterly,531.0,23.0,1.0
93,24,Male,60.0,28.0,3.0,19.0,Standard,Quarterly,521.0,20.0,1.0
94,24,Female,18.0,5.0,4.0,13.0,Standard,Annual,461.0,25.0,1.0
95,33,Female,50.0,8.0,4.0,25.0,Standard,Annual,888.0,30.0,1.0
96,20,Male,43.0,20.0,3.0,28.0,Basic,Quarterly,320.0,6.0,1.0
97,43,Male,22.0,26.0,1.0,25.0,Premium,Quarterly,713.0,24.0,1.0
98,27,Female,5.0,14.0,9.0,11.0,Standard,Quarterly,461.0,25.0,1.0
99,37,Male,30.0,12.0,6.0,7.0,Standard,Annual,618.0,3.0,1.0
